id,name,serviceGroup,department,description,tags,unit,price,minPrice,officialWarranty,clinicWarranty,origin,avgTreatmentMinutes,avgTreatmentSessions,archivedAt,createdAt,updatedAt,createdById,updatedById
e7e66d8a-2385-4c1c-9b8d-7120e7dbf439,Khám tư vấn,Khám tư vấn,,,,Lần,200000,,,,,,,,2018-10-20 17:01:55+00,2025-08-26 02:10:28.122+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
46da391b-a2dc-42f3-9168-7241fbe9c819,Chụp x-quang tại chỗ,Chụp 2D,Chụp x-quang,,,Phim,100000,,,,,,,,2018-10-20 17:03:16+00,2025-08-26 01:48:54.234+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
40cd18fd-4a47-4aaf-bdd5-81e219c92205,Chụp Pano,Chụp 2D,Chụp x-quang,,,Phim,200000,,,,,,,,2018-10-20 17:03:20+00,2025-08-26 01:59:21.481+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
f1efbb0d-d9e9-471d-94ec-f39a0aa448f6,Chụp Cephalo,Chụp 2D,Chụp x-quang,,,Phim,200000,,,,,,,,2018-10-22 17:03:23+00,2025-08-26 01:58:55.591+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
aac39b72-9746-4719-8428-8fb430d35725,Chụp CTCB 1 hàm,Chụp 3D,Chụp x-quang,,,Phim,300000,,,,,,,,2018-10-20 17:03:19+00,2025-08-26 01:59:31.139+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
e82aea6e-6aa9-44ab-b79c-ff509950316d,Chụp CTCB 2 hàm,Chụp 3D,Chụp x-quang,,,Phim,500000,,,,,,,,2018-10-20 17:03:17+00,2025-08-26 01:49:11.232+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
a6d9937a-cce9-43c8-a104-dc7425fc14b8,Lấy cao răng + đánh bóng,Làm sạch răng và điều trị viêm lợi,Nha chu,,,2 hàm,200000,,,,,,,,2018-10-20 17:02:10+00,2025-08-26 02:08:47.521+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
a0b92df1-27d3-4263-b7c9-551a6067cff4,Láy cao răng + đánh bóng trẻ em,Làm sạch răng và điều trị viêm lợi,Nha chu,,,2 hàm,150000,,,,,0,1,,2018-10-20 17:02:11+00,2025-09-09 11:13:12.673+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
af1b936b-da42-4bda-8c10-28b2afd7385e,Đánh bóng 2 hàm,Làm sạch răng và điều trị viêm lợi,Nha chu,,,2 hàm,100000,,,,,,,,2018-10-20 17:02:12+00,2018-10-20 17:02:12+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
a365fe74-1b8f-488c-8dfb-d78095406573,Điều trị viêm lợi bằng máng,Làm sạch răng và điều trị viêm lợi,Nha chu,,,2 hàm,500000,,,,,,,,2018-10-20 17:02:13+00,2018-10-20 17:02:13+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
e79922b8-04ff-4dd4-97ab-f4f7b2a12472,Tẩy trắng răng tại nhà,Tẩy trắng răng,Tổng quát,,,2 hàm,1500000,,,,,,,,2018-10-20 17:00:01+00,2018-10-20 17:00:01+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
